Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteForBookit2,Firefox 66.0,,2019-05-02 14:11:35,2019-05-02 14:13:29,1m - 54.562s,FAILED
,,,,,,
Test Cases/Booking03,Firefox 66.0,,2019-05-02 14:11:35,2019-05-02 14:12:10,34.775s,PASSED
"openBrowser(""https://bookit-qa6.com"")",Firefox 66.0,,2019-05-02 14:11:36,2019-05-02 14:11:47,10.865s,PASSED
"click(findTestObject(""homepage/flight_checkbox""))",Firefox 66.0,,2019-05-02 14:11:47,2019-05-02 14:11:48,1.657s,PASSED
"setText(findTestObject(""homepage/city_or_airport""), ""cheese"")",Firefox 66.0,,2019-05-02 14:11:48,2019-05-02 14:11:49,0.467s,PASSED
delay(1),Firefox 66.0,,2019-05-02 14:11:49,2019-05-02 14:11:50,1.049s,PASSED
"click(findTestObject(""homepage/div_Cheese City IL US""))",Firefox 66.0,,2019-05-02 14:11:50,2019-05-02 14:11:51,0.704s,PASSED
"checkinId = getAttribute(findTestObject(""homepage/checkin_date""), ""id"")",Firefox 66.0,,2019-05-02 14:11:51,2019-05-02 14:11:51,0.483s,PASSED
"checkoutId = getAttribute(findTestObject(""homepage/checkout_date""), ""id"")",Firefox 66.0,,2019-05-02 14:11:51,2019-05-02 14:11:51,0.204s,PASSED
"iniDate = moIni + ""/"" + dayIni + ""/"" + yrIni",Firefox 66.0,,2019-05-02 14:11:51,2019-05-02 14:11:51,0.005s,PASSED
"myIniDate = ""$('#"" + checkinId + ""').val('"" + iniDate + ""')""",Firefox 66.0,,2019-05-02 14:11:51,2019-05-02 14:11:51,0.003s,PASSED
"endDate = moEnd + ""/"" + dayEnd + ""/"" + yrEnd",Firefox 66.0,,2019-05-02 14:11:51,2019-05-02 14:11:51,0.003s,PASSED
"myEndDate = ""$('#"" + checkoutId + ""').val('"" + endDate + ""')""",Firefox 66.0,,2019-05-02 14:11:51,2019-05-02 14:11:51,0.003s,PASSED
strMoIni = bookitKeywords.commonFunctions.getMonthName(moIni),Firefox 66.0,,2019-05-02 14:11:51,2019-05-02 14:11:51,0.014s,PASSED
strMoEnd = bookitKeywords.commonFunctions.getMonthName(moEnd),Firefox 66.0,,2019-05-02 14:11:51,2019-05-02 14:11:51,0.005s,PASSED
dIni = Integer.parseInt(dayIni),Firefox 66.0,,2019-05-02 14:11:51,2019-05-02 14:11:51,0.005s,PASSED
dEnd = Integer.parseInt(dayEnd),Firefox 66.0,,2019-05-02 14:11:51,2019-05-02 14:11:51,0.006s,PASSED
println(dIni),Firefox 66.0,,2019-05-02 14:11:51,2019-05-02 14:11:51,0.012s,PASSED
println(dEnd),Firefox 66.0,,2019-05-02 14:11:51,2019-05-02 14:11:51,0.002s,PASSED
"click(findTestObject(""homepage/checkin_date""))",Firefox 66.0,,2019-05-02 14:11:51,2019-05-02 14:11:52,0.359s,PASSED
delay(1),Firefox 66.0,,2019-05-02 14:11:52,2019-05-02 14:11:53,1.004s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_month1""), 1, CONTINUE_ON_FAILURE))",Firefox 66.0,,2019-05-02 14:11:53,2019-05-02 14:11:54,1.383s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_year1""), 1, CONTINUE_ON_FAILURE))",Firefox 66.0,,2019-05-02 14:11:54,2019-05-02 14:11:55,1.194s,PASSED
"dynxpath = ""//div[contains(@class, 'pika-single') and contains(@class, 'is-bound') and not(contains(@class, 'is-hidden'))]/div[@class='pika-lendar'][1]/table[@class='pika-table']/tbody/tr/td/button[count(. | //*[@type = 'button' and @data-pika-day = '"" + dIni + ""']) = count(//*[@type = 'button' and @data-pika-day = '"" + dIni + ""'])]""",Firefox 66.0,,2019-05-02 14:11:55,2019-05-02 14:11:55,0.005s,PASSED
to = new com.kms.katalon.core.testobject.TestObject(eldia),Firefox 66.0,,2019-05-02 14:11:55,2019-05-02 14:11:55,0.011s,PASSED
"to.addProperty(""xpath"", EQUALS, dynxpath)",Firefox 66.0,,2019-05-02 14:11:55,2019-05-02 14:11:55,0.014s,PASSED
click(to),Firefox 66.0,,2019-05-02 14:11:55,2019-05-02 14:11:56,0.779s,PASSED
"click(findTestObject(""homepage/checkout_date""))",Firefox 66.0,,2019-05-02 14:11:56,2019-05-02 14:11:56,0.249s,PASSED
delay(1),Firefox 66.0,,2019-05-02 14:11:56,2019-05-02 14:11:57,1.005s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_month2""), 1, CONTINUE_ON_FAILURE))",Firefox 66.0,,2019-05-02 14:11:57,2019-05-02 14:11:59,1.300s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_year2""), 1, CONTINUE_ON_FAILURE))",Firefox 66.0,,2019-05-02 14:11:59,2019-05-02 14:12:00,1.185s,PASSED
"dynxpath2 = ""//div[contains(@class, 'pika-single') and contains(@class, 'is-bound') and not(contains(@class, 'is-hidden'))]/div[@class='pika-lendar'][1]/table[@class='pika-table']/tbody/tr/td/button[count(. | //*[@type = 'button' and @data-pika-day = '"" + dEnd + ""']) = count(//*[@type = 'button' and @data-pika-day = '"" + dEnd + ""'])]""",Firefox 66.0,,2019-05-02 14:12:00,2019-05-02 14:12:00,0.003s,PASSED
to2 = new com.kms.katalon.core.testobject.TestObject(eldia2),Firefox 66.0,,2019-05-02 14:12:00,2019-05-02 14:12:00,0.002s,PASSED
"to2.addProperty(""xpath"", EQUALS, dynxpath2)",Firefox 66.0,,2019-05-02 14:12:00,2019-05-02 14:12:00,0.015s,PASSED
click(to2),Firefox 66.0,,2019-05-02 14:12:00,2019-05-02 14:12:01,0.816s,PASSED
"selectOptionByValue(findTestObject(""homepage/select_rooms""), numRooms, false, CONTINUE_ON_FAILURE)",Firefox 66.0,,2019-05-02 14:12:01,2019-05-02 14:12:01,0.095s,PASSED
delay(5),Firefox 66.0,,2019-05-02 14:12:01,2019-05-02 14:12:06,5.003s,PASSED
closeBrowser(),Firefox 66.0,,2019-05-02 14:12:06,2019-05-02 14:12:08,1.832s,PASSED
,,,,,,
Test Cases/Booking03,Firefox 66.0,,2019-05-02 14:12:10,2019-05-02 14:12:42,32.067s,FAILED
"openBrowser(""https://bookit-qa6.com"")",Firefox 66.0,,2019-05-02 14:12:10,2019-05-02 14:12:17,7.587s,PASSED
"click(findTestObject(""homepage/flight_checkbox""))",Firefox 66.0,,2019-05-02 14:12:17,2019-05-02 14:12:19,2.025s,PASSED
"setText(findTestObject(""homepage/city_or_airport""), ""cheese"")",Firefox 66.0,,2019-05-02 14:12:19,2019-05-02 14:12:20,0.618s,PASSED
delay(1),Firefox 66.0,,2019-05-02 14:12:20,2019-05-02 14:12:21,1.004s,PASSED
"click(findTestObject(""homepage/div_Cheese City IL US""))",Firefox 66.0,,2019-05-02 14:12:21,2019-05-02 14:12:22,1.271s,PASSED
"checkinId = getAttribute(findTestObject(""homepage/checkin_date""), ""id"")",Firefox 66.0,,2019-05-02 14:12:22,2019-05-02 14:12:22,0.099s,PASSED
"checkoutId = getAttribute(findTestObject(""homepage/checkout_date""), ""id"")",Firefox 66.0,,2019-05-02 14:12:22,2019-05-02 14:12:23,0.169s,PASSED
"iniDate = moIni + ""/"" + dayIni + ""/"" + yrIni",Firefox 66.0,,2019-05-02 14:12:23,2019-05-02 14:12:23,0.004s,PASSED
"myIniDate = ""$('#"" + checkinId + ""').val('"" + iniDate + ""')""",Firefox 66.0,,2019-05-02 14:12:23,2019-05-02 14:12:23,0.002s,PASSED
"endDate = moEnd + ""/"" + dayEnd + ""/"" + yrEnd",Firefox 66.0,,2019-05-02 14:12:23,2019-05-02 14:12:23,0.004s,PASSED
"myEndDate = ""$('#"" + checkoutId + ""').val('"" + endDate + ""')""",Firefox 66.0,,2019-05-02 14:12:23,2019-05-02 14:12:23,0.003s,PASSED
strMoIni = bookitKeywords.commonFunctions.getMonthName(moIni),Firefox 66.0,,2019-05-02 14:12:23,2019-05-02 14:12:23,0.004s,PASSED
strMoEnd = bookitKeywords.commonFunctions.getMonthName(moEnd),Firefox 66.0,,2019-05-02 14:12:23,2019-05-02 14:12:23,0.003s,PASSED
dIni = Integer.parseInt(dayIni),Firefox 66.0,,2019-05-02 14:12:23,2019-05-02 14:12:23,0.003s,PASSED
dEnd = Integer.parseInt(dayEnd),Firefox 66.0,,2019-05-02 14:12:23,2019-05-02 14:12:23,0.001s,PASSED
println(dIni),Firefox 66.0,,2019-05-02 14:12:23,2019-05-02 14:12:23,0.002s,PASSED
println(dEnd),Firefox 66.0,,2019-05-02 14:12:23,2019-05-02 14:12:23,0.002s,PASSED
"click(findTestObject(""homepage/checkin_date""))",Firefox 66.0,,2019-05-02 14:12:23,2019-05-02 14:12:23,0.289s,PASSED
delay(1),Firefox 66.0,,2019-05-02 14:12:23,2019-05-02 14:12:24,1.004s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_month1""), 1, CONTINUE_ON_FAILURE))",Firefox 66.0,,2019-05-02 14:12:24,2019-05-02 14:12:26,1.774s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_year1""), 1, CONTINUE_ON_FAILURE))",Firefox 66.0,,2019-05-02 14:12:26,2019-05-02 14:12:27,1.188s,PASSED
"dynxpath = ""//div[contains(@class, 'pika-single') and contains(@class, 'is-bound') and not(contains(@class, 'is-hidden'))]/div[@class='pika-lendar'][1]/table[@class='pika-table']/tbody/tr/td/button[count(. | //*[@type = 'button' and @data-pika-day = '"" + dIni + ""']) = count(//*[@type = 'button' and @data-pika-day = '"" + dIni + ""'])]""",Firefox 66.0,,2019-05-02 14:12:27,2019-05-02 14:12:27,0.002s,PASSED
to = new com.kms.katalon.core.testobject.TestObject(eldia),Firefox 66.0,,2019-05-02 14:12:27,2019-05-02 14:12:27,0.001s,PASSED
"to.addProperty(""xpath"", EQUALS, dynxpath)",Firefox 66.0,,2019-05-02 14:12:27,2019-05-02 14:12:27,0.002s,PASSED
click(to),Firefox 66.0,,2019-05-02 14:12:27,2019-05-02 14:12:28,0.773s,PASSED
"click(findTestObject(""homepage/checkout_date""))",Firefox 66.0,,2019-05-02 14:12:28,2019-05-02 14:12:28,0.237s,PASSED
delay(1),Firefox 66.0,,2019-05-02 14:12:28,2019-05-02 14:12:29,1.005s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_month2""), 1, CONTINUE_ON_FAILURE))",Firefox 66.0,,2019-05-02 14:12:29,2019-05-02 14:12:31,1.752s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_year2""), 1, CONTINUE_ON_FAILURE))",Firefox 66.0,,2019-05-02 14:12:31,2019-05-02 14:12:32,1.210s,PASSED
"dynxpath2 = ""//div[contains(@class, 'pika-single') and contains(@class, 'is-bound') and not(contains(@class, 'is-hidden'))]/div[@class='pika-lendar'][1]/table[@class='pika-table']/tbody/tr/td/button[count(. | //*[@type = 'button' and @data-pika-day = '"" + dEnd + ""']) = count(//*[@type = 'button' and @data-pika-day = '"" + dEnd + ""'])]""",Firefox 66.0,,2019-05-02 14:12:32,2019-05-02 14:12:32,0.002s,PASSED
to2 = new com.kms.katalon.core.testobject.TestObject(eldia2),Firefox 66.0,,2019-05-02 14:12:32,2019-05-02 14:12:32,0.003s,PASSED
"to2.addProperty(""xpath"", EQUALS, dynxpath2)",Firefox 66.0,,2019-05-02 14:12:32,2019-05-02 14:12:32,0.002s,PASSED
click(to2),Firefox 66.0,,2019-05-02 14:12:32,2019-05-02 14:12:33,0.787s,PASSED
"selectOptionByValue(findTestObject(""homepage/select_rooms""), numRooms, false, CONTINUE_ON_FAILURE)",Firefox 66.0,,2019-05-02 14:12:33,2019-05-02 14:12:33,0.106s,PASSED
delay(5),Firefox 66.0,,2019-05-02 14:12:33,2019-05-02 14:12:38,5.006s,PASSED
closeBrowser(),Firefox 66.0,,2019-05-02 14:12:38,2019-05-02 14:12:40,1.872s,FAILED
,,,,,,
Test Cases/Booking03,Firefox 66.0,,2019-05-02 14:12:42,2019-05-02 14:13:06,24.260s,FAILED
"openBrowser(""https://bookit-qa6.com"")",Firefox 66.0,,2019-05-02 14:12:42,2019-05-02 14:12:50,7.756s,PASSED
"click(findTestObject(""homepage/flight_checkbox""))",Firefox 66.0,,2019-05-02 14:12:50,2019-05-02 14:12:51,1.772s,PASSED
"setText(findTestObject(""homepage/city_or_airport""), ""cheese"")",Firefox 66.0,,2019-05-02 14:12:51,2019-05-02 14:12:52,0.284s,PASSED
delay(1),Firefox 66.0,,2019-05-02 14:12:52,2019-05-02 14:12:53,1.004s,PASSED
"click(findTestObject(""homepage/div_Cheese City IL US""))",Firefox 66.0,,2019-05-02 14:12:53,2019-05-02 14:12:54,1.666s,PASSED
"checkinId = getAttribute(findTestObject(""homepage/checkin_date""), ""id"")",Firefox 66.0,,2019-05-02 14:12:54,2019-05-02 14:12:54,0.048s,PASSED
"checkoutId = getAttribute(findTestObject(""homepage/checkout_date""), ""id"")",Firefox 66.0,,2019-05-02 14:12:54,2019-05-02 14:12:54,0.077s,PASSED
"iniDate = moIni + ""/"" + dayIni + ""/"" + yrIni",Firefox 66.0,,2019-05-02 14:12:54,2019-05-02 14:12:54,0.001s,PASSED
"myIniDate = ""$('#"" + checkinId + ""').val('"" + iniDate + ""')""",Firefox 66.0,,2019-05-02 14:12:54,2019-05-02 14:12:54,0.002s,PASSED
"endDate = moEnd + ""/"" + dayEnd + ""/"" + yrEnd",Firefox 66.0,,2019-05-02 14:12:54,2019-05-02 14:12:54,0.009s,PASSED
"myEndDate = ""$('#"" + checkoutId + ""').val('"" + endDate + ""')""",Firefox 66.0,,2019-05-02 14:12:54,2019-05-02 14:12:54,0.002s,PASSED
strMoIni = bookitKeywords.commonFunctions.getMonthName(moIni),Firefox 66.0,,2019-05-02 14:12:54,2019-05-02 14:12:54,0.003s,PASSED
strMoEnd = bookitKeywords.commonFunctions.getMonthName(moEnd),Firefox 66.0,,2019-05-02 14:12:54,2019-05-02 14:12:54,0.002s,PASSED
dIni = Integer.parseInt(dayIni),Firefox 66.0,,2019-05-02 14:12:54,2019-05-02 14:12:54,0.002s,PASSED
dEnd = Integer.parseInt(dayEnd),Firefox 66.0,,2019-05-02 14:12:54,2019-05-02 14:12:54,0.003s,PASSED
println(dIni),Firefox 66.0,,2019-05-02 14:12:54,2019-05-02 14:12:54,0.006s,PASSED
println(dEnd),Firefox 66.0,,2019-05-02 14:12:54,2019-05-02 14:12:54,0.002s,PASSED
"click(findTestObject(""homepage/checkin_date""))",Firefox 66.0,,2019-05-02 14:12:54,2019-05-02 14:12:55,0.286s,PASSED
delay(1),Firefox 66.0,,2019-05-02 14:12:55,2019-05-02 14:12:56,1.004s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_month1""), 1, CONTINUE_ON_FAILURE))",Firefox 66.0,,2019-05-02 14:12:56,2019-05-02 14:12:57,1.309s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_year1""), 1, CONTINUE_ON_FAILURE))",Firefox 66.0,,2019-05-02 14:12:57,2019-05-02 14:12:58,1.161s,PASSED
"dynxpath = ""//div[contains(@class, 'pika-single') and contains(@class, 'is-bound') and not(contains(@class, 'is-hidden'))]/div[@class='pika-lendar'][1]/table[@class='pika-table']/tbody/tr/td/button[count(. | //*[@type = 'button' and @data-pika-day = '"" + dIni + ""']) = count(//*[@type = 'button' and @data-pika-day = '"" + dIni + ""'])]""",Firefox 66.0,,2019-05-02 14:12:58,2019-05-02 14:12:58,0.004s,PASSED
to = new com.kms.katalon.core.testobject.TestObject(eldia),Firefox 66.0,,2019-05-02 14:12:58,2019-05-02 14:12:58,0.005s,PASSED
"to.addProperty(""xpath"", EQUALS, dynxpath)",Firefox 66.0,,2019-05-02 14:12:58,2019-05-02 14:12:58,0.003s,PASSED
click(to),Firefox 66.0,,2019-05-02 14:12:58,2019-05-02 14:12:59,0.785s,PASSED
"click(findTestObject(""homepage/checkout_date""))",Firefox 66.0,,2019-05-02 14:12:59,2019-05-02 14:12:59,0.241s,PASSED
delay(1),Firefox 66.0,,2019-05-02 14:12:59,2019-05-02 14:13:00,1.004s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_month2""), 1, CONTINUE_ON_FAILURE))",Firefox 66.0,,2019-05-02 14:13:00,2019-05-02 14:13:02,1.882s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_year2""), 1, CONTINUE_ON_FAILURE))",Firefox 66.0,,2019-05-02 14:13:02,2019-05-02 14:13:03,1.188s,PASSED
"dynxpath2 = ""//div[contains(@class, 'pika-single') and contains(@class, 'is-bound') and not(contains(@class, 'is-hidden'))]/div[@class='pika-lendar'][1]/table[@class='pika-table']/tbody/tr/td/button[count(. | //*[@type = 'button' and @data-pika-day = '"" + dEnd + ""']) = count(//*[@type = 'button' and @data-pika-day = '"" + dEnd + ""'])]""",Firefox 66.0,,2019-05-02 14:13:03,2019-05-02 14:13:03,0.032s,PASSED
to2 = new com.kms.katalon.core.testobject.TestObject(eldia2),Firefox 66.0,,2019-05-02 14:13:03,2019-05-02 14:13:03,0.000s,PASSED
"to2.addProperty(""xpath"", EQUALS, dynxpath2)",Firefox 66.0,,2019-05-02 14:13:03,2019-05-02 14:13:03,0.000s,PASSED
click(to2),Firefox 66.0,,2019-05-02 14:13:03,2019-05-02 14:13:04,0.504s,FAILED
,,,,,,
Test Cases/Booking03,Firefox 66.0,,2019-05-02 14:13:06,2019-05-02 14:13:27,21.161s,FAILED
"openBrowser(""https://bookit-qa6.com"")",Firefox 66.0,,2019-05-02 14:13:06,2019-05-02 14:13:16,9.734s,PASSED
"click(findTestObject(""homepage/flight_checkbox""))",Firefox 66.0,,2019-05-02 14:13:16,2019-05-02 14:13:18,1.795s,PASSED
"setText(findTestObject(""homepage/city_or_airport""), ""cheese"")",Firefox 66.0,,2019-05-02 14:13:18,2019-05-02 14:13:18,0.363s,PASSED
delay(1),Firefox 66.0,,2019-05-02 14:13:18,2019-05-02 14:13:19,1.004s,PASSED
"click(findTestObject(""homepage/div_Cheese City IL US""))",Firefox 66.0,,2019-05-02 14:13:19,2019-05-02 14:13:20,0.762s,PASSED
"checkinId = getAttribute(findTestObject(""homepage/checkin_date""), ""id"")",Firefox 66.0,,2019-05-02 14:13:20,2019-05-02 14:13:20,0.097s,PASSED
"checkoutId = getAttribute(findTestObject(""homepage/checkout_date""), ""id"")",Firefox 66.0,,2019-05-02 14:13:20,2019-05-02 14:13:20,0.117s,PASSED
"iniDate = moIni + ""/"" + dayIni + ""/"" + yrIni",Firefox 66.0,,2019-05-02 14:13:20,2019-05-02 14:13:20,0.003s,PASSED
"myIniDate = ""$('#"" + checkinId + ""').val('"" + iniDate + ""')""",Firefox 66.0,,2019-05-02 14:13:20,2019-05-02 14:13:20,0.003s,PASSED
"endDate = moEnd + ""/"" + dayEnd + ""/"" + yrEnd",Firefox 66.0,,2019-05-02 14:13:20,2019-05-02 14:13:20,0.003s,PASSED
"myEndDate = ""$('#"" + checkoutId + ""').val('"" + endDate + ""')""",Firefox 66.0,,2019-05-02 14:13:20,2019-05-02 14:13:20,0.003s,PASSED
strMoIni = bookitKeywords.commonFunctions.getMonthName(moIni),Firefox 66.0,,2019-05-02 14:13:20,2019-05-02 14:13:20,0.002s,PASSED
strMoEnd = bookitKeywords.commonFunctions.getMonthName(moEnd),Firefox 66.0,,2019-05-02 14:13:20,2019-05-02 14:13:20,0.003s,PASSED
dIni = Integer.parseInt(dayIni),Firefox 66.0,,2019-05-02 14:13:20,2019-05-02 14:13:20,0.001s,PASSED
dEnd = Integer.parseInt(dayEnd),Firefox 66.0,,2019-05-02 14:13:20,2019-05-02 14:13:20,0.001s,PASSED
println(dIni),Firefox 66.0,,2019-05-02 14:13:20,2019-05-02 14:13:20,0.004s,PASSED
println(dEnd),Firefox 66.0,,2019-05-02 14:13:20,2019-05-02 14:13:20,0.003s,PASSED
"click(findTestObject(""homepage/checkin_date""))",Firefox 66.0,,2019-05-02 14:13:20,2019-05-02 14:13:21,0.707s,PASSED
delay(1),Firefox 66.0,,2019-05-02 14:13:21,2019-05-02 14:13:22,1.004s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_month1""), 1, CONTINUE_ON_FAILURE))",Firefox 66.0,,2019-05-02 14:13:22,2019-05-02 14:13:23,1.727s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_year1""), 1, CONTINUE_ON_FAILURE))",Firefox 66.0,,2019-05-02 14:13:23,2019-05-02 14:13:25,1.165s,PASSED
"dynxpath = ""//div[contains(@class, 'pika-single') and contains(@class, 'is-bound') and not(contains(@class, 'is-hidden'))]/div[@class='pika-lendar'][1]/table[@class='pika-table']/tbody/tr/td/button[count(. | //*[@type = 'button' and @data-pika-day = '"" + dIni + ""']) = count(//*[@type = 'button' and @data-pika-day = '"" + dIni + ""'])]""",Firefox 66.0,,2019-05-02 14:13:25,2019-05-02 14:13:25,0.003s,PASSED
to = new com.kms.katalon.core.testobject.TestObject(eldia),Firefox 66.0,,2019-05-02 14:13:25,2019-05-02 14:13:25,0.004s,PASSED
"to.addProperty(""xpath"", EQUALS, dynxpath)",Firefox 66.0,,2019-05-02 14:13:25,2019-05-02 14:13:25,0.002s,PASSED
click(to),Firefox 66.0,,2019-05-02 14:13:25,2019-05-02 14:13:25,0.535s,FAILED
